id,gender,articleType,baseColour,season,usage,productDisplayName,link
17,Men,Watches,Black,Winter,Casual,Police Men Black Dial Watch PL12889JVSB,http://assets.myntassets.com/v1/images/style/properties/Police-Men-Black-Dial-Watch_5bd8cae4fc61052a6f00cfcd69c4a936_images.jpg
18,Girls,Tops,White,Summer,Casual,Gini and Jony Girls Knit White Top,http://assets.myntassets.com/v1/images/style/properties/f3964f76c78edd85f4512d98b26d52e9_images.jpg
19,Women,Bra,Beige,Summer,Casual,Bwitch Beige Full-Coverage Bra BW335,http://assets.myntassets.com/v1/image/style/properties/51832/Bwitch-Beige-Full-Coverage-Bra-BW335_1_d516fa94f14f0a5ecc90df7754390eb5.jpg
20,Women,Handbags,Brown,Summer,Casual,Baggit Women Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/b14c7bf275c6edca3e849200fb7cbf6c_images.jpg
21,Men,Watches,Black,Winter,Casual,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,http://assets.myntassets.com/assets/images/17429/2018/3/5/11520250143953-CASIO-G-Shock-Men-Black-Digital-Watch-G223-8211520250143786-1.jpg
22,Men,Sandals,Black,Fall,Casual,ADIDAS Men Spry M Black Sandals,http://assets.myntassets.com/v1/images/style/properties/c5a22e9ccf9b10e0a89ffbbf3e386584_images.jpg
23,Unisex,Shoe Accessories,Black,Summer,Casual,Timberland Unisex Rubber Sole Brush Shoe Accessories,http://assets.myntassets.com/v1/images/style/properties/92589dc7416b70f1a5c6a4c1f13d14e3_images.jpg
24,Men,Sweatshirts,Grey,Fall,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,http://assets.myntassets.com/v1/images/style/properties/59912a0287751ff0475c8748dbcf4ea0_images.jpg
25,Men,Deodorant,White,Spring,Casual,David Beckham Signature Men Deos,http://assets.myntassets.com/v1/images/style/properties/3295fc148576955745c0b259d7968727_images.jpg
26,Men,Formal Shoes,Black,Winter,Formal,Buckaroo Men Flores Black Formal Shoes,http://assets.myntassets.com/v1/images/style/properties/06edc2da9c6d103d299e5e8dafc5b6b9_images.jpg
27,Women,Bracelet,Bronze,Winter,Casual,Pitaraa Women Bronze Beaded Bracelet,http://assets.myntassets.com/v1/images/style/properties/Pitaraa-Women-Golden-Brass-Bead-Bracelet_179aa06939858b54e8e6c80fe12d94d5_images.jpg
28,Men,Tshirts,Navy Blue,Fall,Sports,Fila Men's Round Neck Navy Blue T-shirt,http://assets.myntassets.com/v1/images/style/properties/296a8c388d05d67346db88af27d3b763_images.jpg
29,Women,Lipstick,Brown,Spring,Casual,Colorbar Soft Touch Show Stopper Copper Lipstick 037,http://assets.myntassets.com/assets/images/56019/2019/1/11/49d718c4-6d86-42d1-8d00-1ce4b7851b2c1547190759839-Colorbar-Soft-Touch-Show-Stopper-Copper-Lipstick-037-2715471-1.jpg
30,Women,Handbags,Brown,Winter,Casual,Murcia Women Casual Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/88d0bc675d72477729f38c30332e749a_images.jpg
31,Men,Shirts,Navy Blue,Summer,Formal,John Players Men Navy Blue Shirt,http://assets.myntassets.com/v1/images/style/properties/3af9f145845d8453a066322de35980af_images.jpg
32,Boys,Tshirts,Green,Summer,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,http://assets.myntassets.com/v1/images/style/properties/0108969213975af06095ff84a0ec0c72_images.jpg
33,Men,Shirts,Brown,Summer,Casual,John Players Men Brown Shirt,http://assets.myntassets.com/v1/images/style/properties/John-Players-Men-Brown-Shirt_7eec3b0568f65dc8f39a534376538551_images.jpg
34,Men,Casual Shoes,White,Winter,Casual,Gas Men Europa White Shoes,http://assets.myntassets.com/v1/images/style/properties/9c3d77147758ab10f12caf6184fe13ef_images.jpg
35,Women,Flats,Black,Winter,Casual,Carlton London Women Black & Gold Toned Flats,http://assets.myntassets.com/v1/images/style/properties/Carlton-London-Women-Black-Gladiator-Sandals_b8f695202ccc1889f65d57b4000a888f_images.jpg
36,Women,Kurtas,Green,Fall,Ethnic,Diva Women Embroided Green Kurta,http://assets.myntassets.com/v1/images/style/properties/08a0c29d2ea67ca9449aa54466f6b0a1_images.jpg
37,Women,Handbags,White,Summer,Casual,Rocky S Women White Handbag,http://assets.myntassets.com/v1/images/style/properties/Rocky-S-Women-White-Handbag_1440a0abd2ddaf3199965e604831b164_images.jpg
38,Women,Handbags,Teal,Summer,Casual,Kiara Women Teal Handbag,http://assets.myntassets.com/v1/images/style/properties/8b58c65e5634233b165c40cdbbcf58b8_images.jpg
39,Women,Watches,Copper,Winter,Casual,Fossil Women Copper Chronograph Watch CH2589,http://assets.myntassets.com/v1/images/style/properties/072af0cd079f20296c72f3594a21f141_images.jpg
40,Women,Tshirts,Pink,Summer,Casual,Jealous 21 Women's Pink T-shirt,http://assets.myntassets.com/v1/images/style/properties/b56e261f9206aa95e42c43f4e62d0e5a_images.jpg
41,Men,Belts,Black,Fall,Formal,Peter England Men Formal Black Belt,http://assets.myntassets.com/v1/images/style/properties/Peter-England-Men-Formal-Black-Beltbc472bd919c505690ecbc1eed8af7fbf_images.jpg
42,Women,Flats,Brown,Winter,Casual,Catwalk Women Leather Brown Flats,http://assets.myntassets.com/v1/images/style/properties/94a9deea53125663d9bbe61cb38b84b4_images.jpg
43,Men,Watches,Off White,Winter,Casual,Maxima Ssteele Men Off White Watch,http://assets.myntassets.com/v1/images/style/properties/93aa34922c6446706c003ba2255747f5_images.jpg
44,Women,Kurtas,Beige,Summer,Ethnic,W Women Printed Beige Kurta,http://assets.myntassets.com/v1/images/style/properties/df0a23e732654c5e7db3888e39393e79_images.jpg
45,Men,Waistcoat,Grey,Fall,Casual,Scullers Men  Grey Waistcoat,http://assets.myntassets.com/v1/images/style/properties/0d2e2ceaaf6d09d447caad678b2edbe6_images.jpg
46,Men,Sports Shoes,White,Fall,Sports,Nike Men's Incinerate MSL White Blue Shoe,http://assets.myntassets.com/v1/images/style/properties/4eff2353c62ec8b7bca9fbbaf5996bd2_images.jpg
47,Men,Shorts,Black,Summer,Sports,Puma Men Long Logo Black Bermuda,http://assets.myntassets.com/v1/images/style/properties/91ca48e3204f23cd376fad7f186875bf_images.jpg
48,Men,Briefs,Maroon,Winter,Casual,Levis Men Boxer Maroon Brief,http://assets.myntassets.com/v1/images/style/properties/155353efc674d253e30c213ca07bbb0b_images.jpg
49,Men,Shirts,Red,Fall,Formal,John Miller Men Stripes White Red Shirts,http://assets.myntassets.com/v1/images/style/properties/5e557eb0be7c6420f7c7a6bbaa432993_images.jpg
50,Women,Belts,Black,Summer,Casual,Baggit Women Hood Dabang Black Belt,http://assets.myntassets.com/v1/images/style/properties/2eb3aa5eefb3319f10f7815100a18e3c_images.jpg
51,Women,Watches,White,Winter,Casual,Maxima Women White Dial Watch,http://assets.myntassets.com/v1/images/style/properties/676dd802241d46a5ce28c78d1dabbc5a_images.jpg
52,Men,Formal Shoes,Black,Fall,Formal,Clarks Men Hang Work Leather Black Formal Shoes,http://assets.myntassets.com/v1/images/style/properties/2976e4095e7b3ae2de99df54d2adeaaa_images.jpg
53,Women,Kurtas,Brown,Summer,Ethnic,Vishudh Women Brown Kurta,http://assets.myntassets.com/v1/images/style/properties/fee54b57fcd02b7c07d42b0918025099_images.jpg
54,Men,Briefs,Blue,Summer,Casual,Playboy Men Blue Titanium Briefs,http://assets.myntassets.com/v1/images/style/properties/Playboy-Men-Blue-Titanium-Briefs_5c63c52edabbab43f6aefc52842d73f2_images.jpg
55,Men,Formal Shoes,Black,Summer,Formal,Arrow Men Black Formal Shoes,http://assets.myntassets.com/v1/images/style/properties/Arrow-Men-Black-Formal-Shoes_70a3c7c185338a5636c8c0e668829bb6_images.jpg
56,Men,Tshirts,Black,Summer,Casual,Puma Men's Stripe Polo Black T-shirt,http://assets.myntassets.com/v1/images/style/properties/02e4e32cd9d09052f0ec3d46fa747d39_images.jpg
57,Women,Tshirts,Purple,Summer,Casual,Nike Women Purple Polo T-shirt,http://assets.myntassets.com/v1/images/style/properties/206a0614c4644cd8816576efd47d60d8_images.jpg
58,Men,Shirts,White,Summer,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear,http://assets.myntassets.com/v1/images/style/properties/1aae016d0abb224cfc18e6bd9bb01ad1_images.jpg
59,Men,Watches,Silver,Winter,Casual,Carrera Men Dial steel finish strap Silver Watches,http://assets.myntassets.com/v1/images/style/properties/b2959d44db543af13d78492225a830de_images.jpg
60,Men,Tshirts,Red,Fall,Casual,Wrangler Men Motor Rider Red T-Shirts,http://assets.myntassets.com/v1/images/style/properties/b34550bc6415dcd66892de4ef2837fd9_images.jpg
61,Women,Sarees,Grey,Fall,Ethnic,FNF Pink & Grey Wedding Collection Sari,http://assets.myntassets.com/v1/images/style/properties/FNF-Green-Collection-for-Wedding-Wear-Sari_6c60eef0b8d9cff87cfcd1f73953e5cd_images.jpg
62,Men,Tshirts,Black,Fall,Casual,Puma Men Scribble Black Tshirts,http://assets.myntassets.com/v1/images/style/properties/cd16e955e4b6b3f9d7089c15652a3f00_images.jpg
63,Men,Watches,Black,Winter,Casual,CASIO EDIFICE Men Black Dial Chronograph Watch ED60,http://assets.myntassets.com/v1/images/style/properties/b8024bdd3fc47c2b20bd840f89811979_images.jpg
64,Women,Handbags,Beige,Summer,Casual,French Connection Women Beige Handbag,http://assets.myntassets.com/v1/images/style/properties/97d3bb4a71c9f7da88305ce9144d8576_images.jpg
65,Men,Casual Shoes,Black,Fall,Casual,Timberland Men Black Casual Shoes,http://assets.myntassets.com/v1/images/style/properties/70e74ca34b3b534b19d6b006d5bfad0a_images.jpg
66,Men,Casual Shoes,Purple,Summer,Casual,Vans Men Classic Slip-On Purple & Black Shoes,http://assets.myntassets.com/v1/images/style/properties/49f884ddf4420d869ad143857d3bc33d_images.jpg
67,Women,Perfume and Body Mist,Pink,Spring,Casual,Police Women Passion Perfume,http://assets.myntassets.com/v1/images/style/properties/438c41900a80acabb3ef197f0559a9eb_images.jpg
68,Men,Sports Shoes,White,Summer,Sports,ADIDAS Men's Lowell White Silver Shoe,http://assets.myntassets.com/v1/images/style/properties/0707b75d2d44e9cec9d27c944294ddbe_images.jpg
69,Men,Shorts,Blue,Summer,Casual,Do U Speak Green Men Blue Shorts,http://assets.myntassets.com/v1/images/style/properties/Do-u-speak-green-Men-Blue-Shorts_40b6775eae62124195817a64d4ae4a93_images.jpg
70,Men,Casual Shoes,Red,Fall,Casual,ID Men Red Shoes,http://assets.myntassets.com/v1/images/style/properties/6a6ebc47eaf2fe034bcfd94060a285ba_images.jpg
71,Women,Handbags,Black,Summer,Casual,Peperone Women Black & White Handbag,http://assets.myntassets.com/v1/images/style/properties/73bc7d63943231e4df1c7b7600496a3d_images.jpg
72,Men,Casual Shoes,Khaki,Summer,Casual,Vans Men Khaki Shoes,http://assets.myntassets.com/v1/images/style/properties/Vans-Men-Khaki-Shoes_dcaf7c703e9c0396650529df2b2a8893_images.jpg
73,Men,Shirts,Pink,Fall,Casual,Indigo Nation Men Reversible Bling Pink Shirts,http://assets.myntassets.com/v1/images/style/properties/0be615f02ae1f1cfe78155555a79007c_images.jpg
74,Women,Tshirts,Black,Fall,Sports,Nike Women Black T-shirt,http://assets.myntassets.com/v1/images/style/properties/135f9aa8141d682fc218393049c70324_images.jpg
75,Men,Sweatshirts,Blue,Fall,Casual,ADIDAS Men Blue Sweatshirt,http://assets.myntassets.com/v1/images/style/properties/fcd52c6506b43f3af116a62c2ea81204_images.jpg
76,Men,Tshirts,Red,Fall,Casual,Manchester United Men Solid Red Tshirt,http://assets.myntassets.com/v1/images/style/properties/eba1c1b241555d8afa3f7232ed2c6933_images.jpg
77,Women,Heels,Black,Winter,Casual,Rocia Women Black Flats,http://assets.myntassets.com/v1/images/style/properties/8d6fd53f28e010658cdf5c14c43d0cb0_images.jpg
78,Women,Heels,Brown,Winter,Casual,Catwalk Women Leather Flats,http://assets.myntassets.com/v1/images/style/properties/4d90e05b9e99e203b3ce191439619bcb_images.jpg
79,Women,Tops,Green,Summer,Casual,Mineral Women Green Top,http://assets.myntassets.com/v1/images/style/properties/fe446adf94f9beb301b61bfc75a70bfa_images.jpg
80,Women,Sandals,Pink,Fall,Casual,Crocs Dora Boots Pink Sandals,http://assets.myntassets.com/v1/images/style/properties/0be6693dafb4261645b22c6e9e7e67f4_images.jpg
81,Men,Sunglasses,Black,Winter,Casual,Image Men Sunglasses,http://assets.myntassets.com/v1/images/style/properties/Image-Men-Classic-Eyewear-Black-Sunglasses_a37f3b87d0d05062ed063adc7aac78bf_images.jpg
82,Men,Flip Flops,Silver,Fall,Casual,Lotto Men XL Water Man Silver Slippers,http://assets.myntassets.com/v1/images/style/properties/69482728a521cbd2ba571e36016d5f63_images.jpg
83,Men,Tshirts,Pink,Summer,Casual,United Colors of Benetton Men Solid Pink Polo T-shirts,http://assets.myntassets.com/v1/images/style/properties/8d7f0bbb0bdefcbcc692bcdf4a6400ee_images.jpg
84,Men,Innerwear Vests,Grey,Summer,Casual,Levis Men Comfort Style Grey Innerwear Vest,http://assets.myntassets.com/v1/images/style/properties/c5c095c0e09eb200aa8d57457c53ec07_images.jpg
85,Men,Flip Flops,Black,Summer,Casual,Reebok Men Black Possession Flip Flops,http://assets.myntassets.com/v1/images/style/properties/647838a2e988ab55b76c9aa9ddd15ad7_images.jpg
86,Women,Pendant,Silver,Summer,Casual,Lucera Women Silver Pendant,http://assets.myntassets.com/v1/images/style/properties/aff52e6e6bc208923a493612e8f6a3e7_images.jpg
87,Men,Watches,White,Winter,Casual,Maxima Men White Dial Analog Chronograph Watch,http://assets.myntassets.com/v1/images/style/properties/80c170d3a8e46c81f22ecebd1f772d32_images.jpg
88,Women,Nail Polish,Bronze,Spring,,Streetwear Ash Nail Polish # 31,http://assets.myntassets.com/v1/images/style/properties/Streetwear-Ash-Nail-Polish--31_21d33100dbf0e4b8bb0b33a980de469b_images.jpg
89,Unisex,Laptop Bag,Orange,Summer,Casual,Peter England Unisex Orange Sleeve Bag,http://assets.myntassets.com/v1/images/style/properties/1847a81fa1d237bfbae1e797dff55909_images.jpg
90,Men,Sports Shoes,White,Summer,Sports,Puma Men Axis White & Grey Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/52ad8ae288ba080d88a116b3c70305ec_images.jpg
91,Women,Tops,Off White,Summer,Casual,Tonga Women Maroon Top,http://assets.myntassets.com/v1/images/style/properties/Tonga-Women-Maroon-Top_e5cc855ba59e5640817434d45f9c088d_images.jpg
92,Women,Scarves,Brown,Summer,Casual,Femella Women Brown Scarf,http://assets.myntassets.com/v1/images/style/properties/aeb9132a29d8844aca73a4544d8135c5_images.jpg
93,Unisex,Rain Jacket,Coffee Brown,Summer,,Just Natural Unisex Charcoal Rain Jacket,http://assets.myntassets.com/v1/images/style/properties/cbc319393da4e3d0eb140d3c8a045d2c_images.jpg
94,Men,Tshirts,Black,Summer,Casual,ADIDAS Men's Twelve Faster T-shirt,http://assets.myntassets.com/v1/images/style/properties/2d986dbf9e5f64e3ab8471120c557db4_images.jpg
95,Women,Dresses,Blue,Summer,Casual,Arrow Woman Women Blue Dress,http://assets.myntassets.com/v1/images/style/properties/c5b0d7c1f0308be020655bc10ca16427_images.jpg
96,Men,Briefs,Red,Summer,Casual,Levis Men Red Brief,http://assets.myntassets.com/v1/images/style/properties/07f0136ab41d3167b3d1e8b84cfc5107_images.jpg
97,Men,Sandals,Black,Summer,Casual,Ganuchi Men Casual Black Sandals,http://assets.myntassets.com/v1/images/style/properties/b23f1e70aec0102c360fb9dfdc476023_images.jpg
98,Women,Night suits,White,Summer,Casual,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124,http://assets.myntassets.com/v1/images/style/properties/SDL-by-Sweet-Dreams-Women-White-Pyjama-Set_debea45adf6bdb5816030e5d05b53d2f_images.jpg
99,Men,Tshirts,Black,Summer,Casual,Indigo Nation Men Printed Black T-shirt,http://assets.myntassets.com/v1/images/style/properties/7a1bc7d255671c7f4b85f1b1b35e945b_images.jpg
100,Women,Perfume and Body Mist,Red,Spring,Casual,DKNY Women Red Delicious Perfume,http://assets.myntassets.com/v1/images/style/properties/2965814bbf6d6a14e720c712941b323c_images.jpg
101,Women,Skirts,Blue,Summer,Sports,Urban Yoga Women Blue Skirt With Leggings,http://assets.myntassets.com/v1/images/style/properties/c3a37f190933411b11c0fa488bc8bc4d_images.jpg
102,Girls,Tops,Black,Summer,Casual,Gini and Jony Girls Black Top,http://assets.myntassets.com/v1/images/style/properties/dce310e4c15223a6c964631190263284_images.jpg
103,Men,Casual Shoes,White,Fall,Casual,Nike Men Air Rift MTR White Casual Shoe,http://assets.myntassets.com/v1/images/style/properties/ac5a2fb9462db16f4cf5fc0f3616a9e6_images.jpg
104,Men,Sports Shoes,White,Summer,Sports,ADIDAS Men White Corona Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/5059a8f382c53105f1bdce6780543934_images.jpg
105,Unisex,Watches,Black,Winter,Casual,Fastrack Unisex Black Dial Watch 9915PP13,http://assets.myntassets.com/v1/images/style/properties/1de1449cc15d68bc4e53fac49a1e0e18_images.jpg
106,Men,Casual Shoes,Blue,Summer,Casual,Vans Men Blue Era Scilla Plaid Shoes,http://assets.myntassets.com/v1/images/style/properties/Vans-Men-Blue-Casual-Shoes_f9ad04b071e06c34a04e2c0a047d58a1_images.jpg
107,Unisex,Flip Flops,Navy Blue,Summer,Casual,Crocs Kids Navy Blue Clogs,http://assets.myntassets.com/v1/images/style/properties/Crocs-Kids-Navy-Blue-Clogs_dd0334757683ef726ca116cc7b8b6012_images.jpg
108,Men,Tshirts,White,Fall,Casual,Classic Polo Men Vulcan White Polo Tshirts,http://assets.myntassets.com/v1/images/style/properties/9b9622c9c440e59a67c876cf07706f3c_images.jpg
109,Men,Sports Shoes,Grey,Fall,Sports,Fila Men Destiny Grey Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/498da65eeee9a23f2049449258384d55_images.jpg
110,Men,Sports Shoes,Blue,Summer,Sports,ADIDAS Men Blue Chill Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/c0abfa74fe61af6ba9e5f4936f45e6c7_images.jpg
111,Men,Shirts,Yellow,Fall,Casual,Turtle Check Men Yellow Shirt,http://assets.myntassets.com/v1/images/style/properties/1049df82b306da238c324c6c7031b135_images.jpg
112,Men,Wallets,Black,Summer,Casual,Arrow Men Black Wallet,http://assets.myntassets.com/v1/images/style/properties/7cc4a01bf1667b6954fb9d44bfdda095_images.jpg
113,Women,Heels,Grey,Winter,Casual,Catwalk Women Gun Metal Grey Heels,http://assets.myntassets.com/v1/images/style/properties/cea14ca6ae7273963babfa80798aa61c_images.jpg
114,Women,Wallets,Beige,Summer,Casual,United Colors of Benetton Women Solid Beige Wallets,http://assets.myntassets.com/v1/images/style/properties/22ab917e5ff62a05d1d932daf35cf158_images.jpg
115,Men,Sandals,Brown,Summer,Casual,Lotto Men Ridge Brown Sandals,http://assets.myntassets.com/v1/images/style/properties/42344fe581af7a4c62d2a39ceb57be24_images.jpg
116,Men,Shirts,White,Fall,Casual,U.S. Polo Assn. Men White & Navy Blue Shirt,http://assets.myntassets.com/v1/images/style/properties/US-Polo-Assn-Men-White---Navy-Blue-Shirt_233bed1565b9ac72f62fb685a2223f3c_images.jpg
117,Men,Briefs,White,Summer,Casual,Jockey ELANCE Men Bikini White Brief 1005,http://assets.myntassets.com/v1/images/style/properties/e5b0ca8a3d69ff5f0d6e2d9303705eb9_images.jpg
118,Women,Blazers,Charcoal,Summer,Formal,Scullers For Her Charcoal Blazer,http://assets.myntassets.com/v1/images/style/properties/a2826334fe816ee0e95ce93b8aabc90d_images.jpg
119,Women,Jeans,Black,Summer,Casual,Jealous 21 Women Black Jeans,http://assets.myntassets.com/v1/images/style/properties/Jealous-21-Women-Black-Jeans_6c38590b2ec56b444a760aa56a8ef7e9_images.jpg
120,Women,Flip Flops,Red,Winter,Casual,iPanema Women Red Flip Flops,http://assets.myntassets.com/v1/images/style/properties/3101e6784596ba83c3fb728bcf5b6187_images.jpg
121,Women,Handbags,Blue,Summer,Casual,Fabindia Women Blue Silk Sling Bag,http://assets.myntassets.com/v1/images/style/properties/21c45000f209a31a74ed47f9ec9ac87e_images.jpg
122,Women,Flats,Silver,Spring,Casual,Carlton London Women Silver Wedge Sandal,http://assets.myntassets.com/v1/images/style/properties/1133e704c0d02e19ac7b09685788aa40_images.jpg
123,Women,Kurtas,Green,Summer,Ethnic,Sushilas Women Printed Green Kurta,http://assets.myntassets.com/v1/images/style/properties/Sushilas-Women-Printed-Green-Kurta_c9347616597dbcbe6eca805e1677c269_images.jpg
124,Women,Ring,Silver,Summer,Casual,Lucera Women Silver Ring,http://assets.myntassets.com/v1/images/style/properties/Lucera-Women-Silver-Ring_dccb8dafadde1c4759acfb940fcb42e9_images.jpg
125,Boys,Tshirts,Blue,Fall,Casual,Doodle Boy's Route 66 Biker Blue Teen Kidswear,http://assets.myntassets.com/v1/images/style/properties/117451d5bf32c9ec341a6dfd0c28121a_images.jpg
126,Unisex,Watches,White,Winter,Casual,ADIDAS Unisex Three Small Dials White Watches,http://assets.myntassets.com/v1/images/style/properties/f9f0f53a996cd6df9e48e4e685e25047_images.jpg
127,Men,Sunglasses,Copper,Winter,Casual,Ray-Ban Men Active Lifestyle Copper Sunglasses,http://assets.myntassets.com/v1/images/style/properties/Ray-Ban-Men-Active-Lifestyle-Copper-Sunglassesb7761297ec669a622453f898fce8759f_images.jpg
128,Unisex,Sports Shoes,Black,Fall,Sports,ADIDAS Kids Adispeed Black Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/6bb0dda205ff23b2b1fda526a3c74374_images.jpg
129,Men,Shirts,Green,Fall,Casual,Scullers Men  Green Check Shirt,http://assets.myntassets.com/v1/images/style/properties/9b2dc2cfc35d37aee2f4d46532384605_images.jpg
130,Men,Sandals,White,Fall,Casual,Puma Men Fashion Cat White Slipper,http://assets.myntassets.com/v1/images/style/properties/c78acc78b83e4f2e014215d2a302f04b_images.jpg
131,Men,Watches,Black,Winter,Casual,Fastrack Men Economy 2 Analg Black Watch,http://assets.myntassets.com/v1/images/style/properties/112edfec7e1965c0f64ad9eb51cac579_images.jpg
132,Men,Sweatshirts,Blue,Fall,Casual,United Colors of Benetton Men Solid Blue Sweatshirt,http://assets.myntassets.com/v1/images/style/properties/2641289161a53042c64ced38cadb099b_images.jpg
133,Men,Tshirts,Black,Fall,Sports,Puma Men's Large Logo Graphic Black T-shirt,http://assets.myntassets.com/v1/images/style/properties/59433decf845a0c856d3879435d95560_images.jpg
134,Women,Perfume and Body Mist,Gold,Spring,Casual,Giorgio Armani Women Idole Perfume,http://assets.myntassets.com/v1/images/style/properties/b0d3dcd6aaa7274486236fa267ef8cb5_images.jpg
135,Women,Kurta Sets,Black,Summer,Ethnic,Aneri Women Black & Maroon Salwar Suit,http://assets.myntassets.com/v1/images/style/properties/4d16721ce6d31a02786fa271a40dbc86_images.jpg
136,Women,Clutches,Red,Winter,Casual,Spice Art Women Ribbon Embroidery Red Clutch,http://assets.myntassets.com/v1/images/style/properties/ee617574380de80bee9cce9ec585e8be_images.jpg
137,Men,Sandals,Beige,Fall,Casual,Estd. 1977 Men Beige & Green Sandals,http://assets.myntassets.com/v1/images/style/properties/7adfef9d7001cdcb9a58822c0c8b615f_images.jpg
138,Women,Handbags,Brown,Summer,Casual,Rocky S Women Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/Rocky-S-Women-Brown-Handbag_5b44f798c0d6b84b00ae5a6316d931af_images.jpg
139,Men,Sandals,Black,Summer,Casual,Coolers Men Black Sandals,http://assets.myntassets.com/v1/images/style/properties/5fdccf41dafc022f36adea9a7df6751c_images.jpg
140,Men,Shirts,Red,Fall,Casual,Levis Men Check Red Shirts,http://assets.myntassets.com/v1/images/style/properties/9584fab8cde60a77e797973020e5c91d_images.jpg
141,Women,Shrug,Pink,Summer,Casual,Tonga Women Pink Printed Shrug,http://assets.myntassets.com/v1/images/style/properties/28d91b2c102e5742714c7f706a73eeb4_images.jpg
142,Men,Briefs,Grey,Summer,Casual,Chromozome Men Grey Briefs,http://assets.myntassets.com/v1/images/style/properties/9bd108a473fd6a01005be56f7f0a3807_images.jpg
143,Men,Tshirts,Black,Fall,Casual,U.S. Polo Assn. Men Stripes Black  Polo Tshirt,http://assets.myntassets.com/v1/images/style/properties/7648ed40d904bf77502b84894f9cb980_images.jpg
144,Women,Flats,Copper,Winter,Casual,Portia Women Copper-Toned & Brown Sandals,http://assets.myntassets.com/v1/images/style/properties/daadf44edb9420bbd0d335702cf6e095_images.jpg
